VESSEL_TYPE_ID,HAS_CANAL_PASSAGE,MONTH_NO,median_hours_per_nm,p10,p90,n_obs,level,specificity_score
1038665.0,0.0,1.0,0.0753232152894884,0.0752936519107624,0.0807692307692307,374,1,7
1038665.0,0.0,3.0,0.0807503343791721,0.0755823366254263,0.0807503767441623,283,1,7
1038665.0,0.0,4.0,0.0846153846153846,0.0765789220958439,1.7428670864448088,121,1,7
1038665.0,0.0,8.0,0.0807692307692307,0.0426491951050415,0.2660695490492046,97,1,7
1039859.0,0.0,7.0,0.0839999999999999,0.0839999999999999,0.08862909584541787,70,1,7
1039859.0,0.0,6.0,0.084,0.0419999999999999,0.2258711040525083,39,1,7
1038665.0,0.0,9.0,0.08398067310536819,0.0807692307692307,0.2394871165478778,38,1,7
1038665.0,0.0,11.0,0.0807692307692307,0.0807692307692307,0.0844781326454134,36,1,7
1039859.0,0.0,5.0,0.084,0.0807692307692307,0.1251788952790201,36,1,7
1039859.0,0.0,4.0,0.0839999999999999,0.0807692307692307,0.0855092852182704,27,1,7
1039859.0,0.0,2.0,0.0807692307692307,0.0807692307692307,0.08496989277692232,19,1,7
1038665.0,0.0,12.0,0.0807834479111134,0.0807692307692307,0.08741045515307537,18,1,7
1038665.0,0.0,6.0,0.083137173930503,0.0807692307692307,0.0839250781341028,17,1,7
1038665.0,0.0,5.0,0.0807692307692307,0.0807691849104637,0.13460156345080065,16,1,7
1039859.0,0.0,1.0,0.084,0.079753784814189,0.084,15,1,7
1038665.0,0.0,10.0,0.09288461538461534,0.0807692307692307,0.1169149600285411,14,1,7
1039859.0,0.0,8.0,0.08399999999999995,0.0582743063178624,0.18774040644031956,10,1,7
1038665.0,0.0,7.0,0.0807692307692307,0.0807692307692307,0.08164291173910188,5,1,7
1039859.0,0.0,9.0,0.0839999999999999,0.0839999999999999,0.08399999999999998,3,1,7
1038665.0,0.0,,0.0807503767441623,0.0752936519107624,0.0846153861588483,1020,2,6
1039859.0,0.0,,0.084,0.0807692307692307,0.12248165407774736,219,2,6
1038665.0,,,0.0807503767441623,0.0752936519107624,0.0846153861588483,1020,3,4
1039859.0,,,0.084,0.0807692307692307,0.12248165407774736,219,3,4
,,,0.0807692307692307,0.0752936519107624,0.09059950291935649,1239,4,0
