"COMMODITY_ID","COMMODITY_GROUP_ID","COMMODITY_CODE","COMMODITY_NAME"
1038646,1129775,"CPP","CPP"
1129805,1129775,"JET","Jet"
1129818,1129775,"UMS","Gasoline"
1129918,1129775,"DIE/GO","Diesel/Gasoil (>50ppm)"
1130505,1129775,"ULSD","ULSD (<50ppm)"
1130516,1129775,"NAP","Naphtha"
1130526,1129775,"LUB","Lube/Base Oil"
1130536,1519682,"CSS","CSS"
1130546,1129783,"BTX","BTX"
1130557,1129783,"EOH","Ethanol"
1130566,1129783,"EOH - D","Denatured Ethanol"
1130575,1129783,"MEOH","Methanol"
1130585,1129783,"MTBE/ETBE","MTBE/ETBE"
1130594,1129783,"GLY","Glycol"
1130603,1129783,"EDC","EDC"
1130612,1129783,"UAN","UAN"
1130621,1129783,"SM","Styrene Monomer"
1130630,1519694,"PALM","Palm Oil"
1130639,1129789,"SBO","Soybean Oil"
1130649,1519689,"UCO","UCO"
1130658,1519689,"FAME","Fame"
1130667,1129789,"MOL","Molasses"
1130677,1129795,"CRU","Crude"
1130686,1129795,"DPP","DPP"
1130698,1129795,"CRUDPP","DPP"
1519967,1519689,"FISH","Fish Oil"
1519979,1519689,"PFAD","PFAD"
1519994,1129789,"CAN","Canola Oil"
1520010,1129789,"RPSDO","Rapeseed Oil"
1520020,1129789,"SUN","Sunflower Oil"
2029056,1129795,"FO","Fuel Oil"
