"VESSEL_ID","VESSEL_NAME","VESSEL_TYPE_ID","IMO_NUMBER","DWT_SUMMER","DRAFT_SUMMER","LOA","BEAM","AIR_DRAFT","BUILT_YEAR","FLAG_ID","REGISTERED_PORT_ID","ICE_CLASS_ID","SCRUBBER_FITTED_ME"
1038667,"Test Vessel",1038665,"",0,0,0,0,0,,,,,0
1038706,"TEST",1038665,"",0,0,0,0,0,,,,,0
1038877,"Almi Galaxy",1039859,"9579509",157787,0,274,48.03,17.024,2012,410120,,,1
1039666,"Almi Sky",1039859,"9579523",0,0,0,0,0,,,,,0
1039921,"Aura M",1039859,"9595333",0,0,0,0,0,,,,,1
1040471,"Crude Zephyrus",1039859,"9899375",0,0,0,0,0,,,,,0
1040549,"Dallas",1039859,"9390020",0,0,0,0,0,,,,,1
1040617,"Dee4 Juniper",1038665,"9930923",49999,0,0,0,0,2022,410120,,,0
1040826,"Dee4 Mahogany",1038665,"9942500",49999,0,0,0,0,2022,410120,,,0
1040969,"Aquafreedom",1039859,"9922823",0,0,0,0,0,,,,,0
1041021,"Dee4 Nerium",1038665,"9929821",49990,0,0,0,0,2022,410120,,,0
1041077,"Emma Grace",1038665,"9694191",49997,0,0,0,0,2015,410130,,,0
1041125,"Largo Energy",1038665,"9683984",49737,0,0,0,0,2014,410130,,,0
1041179,"Largo Evolution",1038665,"9687942",49737,0,0,0,0,2015,410130,,,0
1041237,"Safeen Elizabeth",1039859,"9524449",0,0,0,0,0,2011,410130,,,0
1041307,"Solar Tine",1038665,"9898527",49342,0,0,0,0,2021,410120,,,0
1041384,"Sonangol Cabinda",1039859,"9575589",0,0,0,0,0,2013,410029,,,1
1041462,"Sonangol Cazenga",1039859,"9766310",0,0,0,0,0,,,,,0
1041542,"Sonangol Huila",1039859,"9575565",0,0,0,0,0,,,,,0
1041620,"Sonangol Kalandula",1039859,"9575553",0,0,0,0,0,,,,,0
1041696,"Sonangol Kulumbimbi",1039859,"9938482",0,0,0,0,0,,,,,0
1041768,"Sonangol Maiombe",1039859,"9766322",0,0,0,0,0,,,,,0
1041848,"Sonangol Namibe",1039859,"9325049",0,0,0,0,0,,,,,0
1041918,"Sonangol Njinga Mbande",1039859,"9938494",0,0,0,0,0,2023,410029,,,0
1041990,"Sonangol Porto Amboim",1039859,"9575577",0,0,0,0,0,,410029,,,0
1042074,"Sonangol Rangel",1039859,"9575541",0,0,0,0,0,2011,410029,,,0
1042150,"Stena Conductor",1038665,"9934888",49999,0,0,0,0,2022,410160,,,1
1042216,"Stena Convoy",1038665,"9543110",49999,0,0,0,0,2022,410160,,,1
1042278,"Stena Image",1038665,"9667473",49719,0,0,0,0,2015,410054,,,0
1042332,"Stena Imagination",1038665,"9685463",49689,0,0,0,0,2016,410072,,,1
1042388,"Stena Immaculate",1038665,"9693018",49729,0,0,0,0,2017,410213,,,1
1042444,"Stena Immortal",1038665,"9685475",49647,0,0,0,0,2016,410072,,,1
1042500,"Stena Impeccable",1038665,"9693020",49737,0,0,0,0,2017,410213,,,1
1042556,"Stena Imperative",1038665,"9666077",49729,0,0,0,0,2017,410213,,,1
1042612,"Stena Imperator",1038665,"9797383",49690,0,0,0,0,2017,410072,,,1
1042668,"Stena Imperial",1038665,"9667485",49749,0,0,0,0,2015,410140,,,1
1042724,"Stena Impero",1038665,"9797400",49682,0,0,0,0,2018,410072,,,1
1042784,"Stena Important",1038665,"9667497",49731,0,0,0,0,2015,410054,,,0
1042844,"Stena Impression",1038665,"9667461",49776,0,0,0,0,2015,410072,,,1
1042900,"Stena Imprimis",1038665,"9797395",49718,0,0,0,0,2017,410072,,,1
1042956,"Stena Impulse",1038665,"9666089",49762,0,0,0,0,2016,410054,,,0
1043022,"Stena Suede",1039859,"9579042",0,0,0,0,0,,,,,1
1043108,"Stena Sunrise",1039859,"9592214",0,0,0,0,0,,410181,,,1
1043194,"Stena Sunshine",1039859,"9585900",0,0,0,0,0,,,,,1
1043280,"Stena Superior",1039859,"9579030",0,0,0,0,0,,,,,1
1043366,"Stena Surprise",1039859,"9533995",0,0,0,0,0,,,,,1
1043436,"Zandolie",1038665,"9893163",29668,0,0,0,0,,,,,0
1043488,"Lady Amanda",1038665,"9913602",49996,0,0,0,0,2022,410130,,,0
1043540,"Kalk Bay",1038665,"9970363",0,0,0,0,0,,,,,0
1067879,"Olympios",1038665,"9919620",0,0,0,0,0,,,,,0
1095347,"Dee4 test",1038665,"",0,0,0,0,0,,,,,0
1215839,"MV Binne",1038665,"",0,0,0,0,0,,,,,0
1229091,"Peter-Test",1039859,"9702211",149999,0,22,11,55,1800,410182,,,0
1595696,"Standard MR",1038665,"",0,0,0,0,0,,,,,0
1650272,"100 Point Suezmax",1039859,"",0,0,0,0,0,,,,,0
1651778,"Almi Navigator",1039859,"9579561",0,0,0,0,0,,,,,1
1656475,"Golden Sun",1038665,"1018860",49988,0,0,0,0,2024,410182,,,0
1664115,"Nord Valhalla",1038665,"9985825",49999,0,0,0,0,2025,410182,,,1
1668130,"Dee4 Kastania",1038665,"9933638",49999,0,0,0,0,2022,410120,,,0
1669802,"Castara",1038665,"9834155",50620,0,0,0,0,2019,410182,,,0
1832345,"Sea Cougar",1038665,"9834868",29529,0,0,0,0,2019,410083,,,1
2638396,"Kalk Bay ",1038665,"9970363",0,0,0,0,0,2023,410182,,,0
2638622,"ee fitzgerald",1038665,"",0,0,0,0,0,2025,410213,,,0
2752276,"kh test test",1038665,"",0,0,0,0,0,,,,,0
2752660,"Test 2",1039859,"",0,0,0,0,0,,,,,0
